algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_20k@20k,abs_diff_from_20k@20k,final_score
tqc,1400.0,-8235.25361328125,10586.966590634922,604.1212890624993,604.1212890624993,3.0
sac,1800.0,-9336.99677734375,27311097.121256065,-3684.3394531250015,3684.3394531250015,16.0
trpo,14000.0,-9473.327490234375,38864974.471090384,-3903.2445312500004,3903.2445312500004,29.0
ddpg,,,,,,
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
td3,,,,,,
avg,,,,,,
