algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_20k@20k,abs_diff_from_20k@20k,final_score
tqc,1600.0,-30463.7576171875,11197.759548629469,8851.5232421875,8851.5232421875,4.0
ddpg,1800.0,-31964.0162109375,479183.1911032454,9780.467968750003,9780.467968750003,17.0
td3,2600.0,-32430.367578125,1049593.2294219255,7267.528515624999,7267.528515624999,17.0
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
avg,,,,,,
