algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_20k@20k,abs_diff_from_20k@20k,final_score
tqc,3600.0,-29886.1859375,119422.39564338204,8506.388085937499,8506.388085937499,6.0
ddpg,2600.0,-29510.8453125,840104.7506038122,7899.7109375,7899.7109375,15.0
td3,4000.0,-29656.272265625,2186286.5475734347,2896.4591796874993,2896.4591796874993,17.0
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
avg,,,,,,
