algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_20k@20k,abs_diff_from_20k@20k,final_score
tqc,2400.0,-31816.2494140625,93000.79372278239,10204.015039062499,10204.015039062499,6.0
ddpg,1800.0,-31057.0888671875,500188.5523378259,8873.540625000001,8873.540625000001,15.0
td3,4000.0,-31919.0361328125,1769277.137829128,6756.197070312501,6756.197070312501,17.0
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
sac,,,,,,
trpo,,,,,,
avg,,,,,,
