algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_20k@20k,abs_diff_from_20k@20k,final_score
tqc,1200.0,-12207.97861328125,16406.149585969804,4008.76416015625,4008.76416015625,4.0
sac,2200.0,-8733.61572265625,85249278.26798552,-2776.5249999999996,2776.5249999999996,16.0
td3,10400.0,-11847.489794921876,7413157.136895005,-21248.03935546875,21248.03935546875,28.0
ddpg,,,,,,
dpg,,,,,,
ppo,,,,,,
reinforce,,,,,,
trpo,,,,,,
avg,,,,,,
